 Local Health Districts, year, Sex, State comparison, Average number per year," Rate per 100,000 population", LL 95% CI, UL 95% CI
 Northern Sydney LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Northern Sydney LHD, 2008-2009, Persons, Northern Sydney LHD,186.5,17.2,15.4,19
 Northern Sydney LHD, 2008-2009, Persons, Rest of NSW,1497.6,21.7,20.9,22.5
 Northern Sydney LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Northern Sydney LHD, 2009-2010, Males, Northern Sydney LHD,74.7,17.2,14.6,20.2
 Northern Sydney LHD, 2009-2010, Males, Rest of NSW,801.3,25.4,24.1,26.7
 Northern Sydney LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Northern Sydney LHD, 2009-2010, Females, Northern Sydney LHD,107.7,14.9,12.8,17.1
 Northern Sydney LHD, 2009-2010, Females, Rest of NSW,711.7,16.7,15.8,17.6
 Northern Sydney LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Northern Sydney LHD, 2009-2010, Persons, Northern Sydney LHD,182.4,16.4,14.7,18.3
 Northern Sydney LHD, 2009-2010, Persons, Rest of NSW,1513,21.4,20.6,22.1
 Northern Sydney LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Northern Sydney LHD, 2010-2011, Males, Northern Sydney LHD,78.2,17.3,14.7,20.3
 Northern Sydney LHD, 2010-2011, Males, Rest of NSW,805.9,24.8,23.6,26.1
 Northern Sydney LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Northern Sydney LHD, 2010-2011, Females, Northern Sydney LHD,105.1,14.1,12.1,16.2
 Northern Sydney LHD, 2010-2011, Females, Rest of NSW,719.5,16.4,15.5,17.3
 Northern Sydney LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Northern Sydney LHD, 2010-2011, Persons, Northern Sydney LHD,183.2,16.1,14.4,17.9
 Northern Sydney LHD, 2010-2011, Persons, Rest of NSW,1525.4,20.9,20.2,21.7
 Northern Sydney LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Northern Sydney LHD, 2011-2012, Males, Northern Sydney LHD,75.7,16.4,13.9,19.2
 Northern Sydney LHD, 2011-2012, Males, Rest of NSW,814.9,24.6,23.4,25.8
 Northern Sydney LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Northern Sydney LHD, 2011-2012, Females, Northern Sydney LHD,103.2,13.6,11.7,15.8
 Northern Sydney LHD, 2011-2012, Females, Rest of NSW,720.1,16.1,15.2,16.9
 Northern Sydney LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Northern Sydney LHD, 2011-2012, Persons, Northern Sydney LHD,178.8,15.4,13.8,17.1
 Northern Sydney LHD, 2011-2012, Persons, Rest of NSW,1535,20.6,19.9,21.3
 Northern Sydney LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Northern Sydney LHD, 2012-2013, Males, Northern Sydney LHD,76.7,16.4,13.9,19.2
 Northern Sydney LHD, 2012-2013, Males, Rest of NSW,830.2,24.5,23.3,25.7
 Northern Sydney LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Northern Sydney LHD, 2012-2013, Females, Northern Sydney LHD,97.2,12.7,10.9,14.8
 Northern Sydney LHD, 2012-2013, Females, Rest of NSW,698.4,15.3,14.5,16.1
 Northern Sydney LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Northern Sydney LHD, 2012-2013, Persons, Northern Sydney LHD,173.9,14.8,13.2,16.5
 Northern Sydney LHD, 2012-2013, Persons, Rest of NSW,1528.5,20.1,19.3,20.8
 Northern Sydney LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Northern Sydney LHD, 2013-2014, Males, Northern Sydney LHD,78,16.3,13.8,19.1
 Northern Sydney LHD, 2013-2014, Males, Rest of NSW,868.8,25,23.8,26.2
 Northern Sydney LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Northern Sydney LHD, 2013-2014, Females, Northern Sydney LHD,95.5,12.3,10.5,14.3
 Northern Sydney LHD, 2013-2014, Females, Rest of NSW,701.6,15,14.2,15.8
 Northern Sydney LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Northern Sydney LHD, 2013-2014, Persons, Northern Sydney LHD,173.5,14.5,13,16.2
 Northern Sydney LHD, 2013-2014, Persons, Rest of NSW,1570.4,20.1,19.4,20.9
 Northern Sydney LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Northern Sydney LHD, 2014-2015, Males, Northern Sydney LHD,78.1,16,13.6,18.8
 Northern Sydney LHD, 2014-2015, Males, Rest of NSW,901.9,25.4,24.2,26.6
 Northern Sydney LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Northern Sydney LHD, 2014-2015, Females, Northern Sydney LHD,95.8,12.3,10.5,14.3
 Northern Sydney LHD, 2014-2015, Females, Rest of NSW,713.6,14.9,14.2,15.8
 Northern Sydney LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Northern Sydney LHD, 2014-2015, Persons, Northern Sydney LHD,174,14.4,12.8,16
 Northern Sydney LHD, 2014-2015, Persons, Rest of NSW,1615.5,20.3,19.6,21
 Northern Sydney LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Northern Sydney LHD, 2015-2016, Males, Northern Sydney LHD,81.3,16.2,13.8,18.9
 Northern Sydney LHD, 2015-2016, Males, Rest of NSW,913.4,25.1,24,26.3
 Northern Sydney LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Northern Sydney LHD, 2015-2016, Females, Northern Sydney LHD,94.6,12,10.3,14
 Northern Sydney LHD, 2015-2016, Females, Rest of NSW,704.1,14.6,13.8,15.4
 Northern Sydney LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Northern Sydney LHD, 2015-2016, Persons, Northern Sydney LHD,176,14.3,12.8,15.9
 Northern Sydney LHD, 2015-2016, Persons, Rest of NSW,1617.4,19.9,19.2,20.6
 Northern Sydney LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Central Coast LHD, 2001-2002, Males, Central Coast LHD,47.4,31,25,38.1
 Central Coast LHD, 2001-2002, Males, Rest of NSW,880.2,30.9,29.4,32.4
 Central Coast LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Central Coast LHD, 2001-2002, Females, Central Coast LHD,53.2,22.4,18.3,27.3
 Central Coast LHD, 2001-2002, Females, Rest of NSW,834.9,21.7,20.7,22.8
 Central Coast LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Central Coast LHD, 2001-2002, Persons, Central Coast LHD,100.6,27.1,23.4,31.2
 Central Coast LHD, 2001-2002, Persons, Rest of NSW,1715.1,26.8,25.9,27.7
 Central Coast LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Central Coast LHD, 2002-2003, Males, Central Coast LHD,51.3,32.6,26.5,39.7
 Central Coast LHD, 2002-2003, Males, Rest of NSW,855.7,29.5,28.1,31
 Central Coast LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Central Coast LHD, 2002-2003, Females, Central Coast LHD,52.8,21.7,17.6,26.4
 Central Coast LHD, 2002-2003, Females, Rest of NSW,856.4,21.8,20.7,22.8
 Central Coast LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Central Coast LHD, 2002-2003, Persons, Central Coast LHD,104.1,27.3,23.6,31.4
 Central Coast LHD, 2002-2003, Persons, Rest of NSW,1712.1,26.2,25.4,27.1
 Central Coast LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Central Coast LHD, 2003-2004, Males, Central Coast LHD,50.9,31.3,25.4,38.1
 Central Coast LHD, 2003-2004, Males, Rest of NSW,813.4,27.7,26.4,29.1
 Central Coast LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Central Coast LHD, 2003-2004, Females, Central Coast LHD,52.3,21.3,17.2,26
 Central Coast LHD, 2003-2004, Females, Rest of NSW,842.3,21,19.9,22
 Central Coast LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Central Coast LHD, 2003-2004, Persons, Central Coast LHD,103.2,26.4,22.8,30.3
 Central Coast LHD, 2003-2004, Persons, Rest of NSW,1655.7,24.9,24.1,25.8
 Central Coast LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Central Coast LHD, 2004-2005, Males, Central Coast LHD,46.6,28.5,22.9,35
 Central Coast LHD, 2004-2005, Males, Rest of NSW,788.8,26.5,25.2,27.8
 Central Coast LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Central Coast LHD, 2004-2005, Females, Central Coast LHD,51.9,20.8,16.8,25.4
 Central Coast LHD, 2004-2005, Females, Rest of NSW,808.2,19.7,18.7,20.7
 Central Coast LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Central Coast LHD, 2004-2005, Persons, Central Coast LHD,98.6,24.8,21.4,28.7
 Central Coast LHD, 2004-2005, Persons, Rest of NSW,1597,23.6,22.8,24.4
 Central Coast LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Central Coast LHD, 2005-2006, Males, Central Coast LHD,48.8,29.6,23.9,36.1
 Central Coast LHD, 2005-2006, Males, Rest of NSW,797.6,26.2,24.9,27.5
 Central Coast LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Central Coast LHD, 2005-2006, Females, Central Coast LHD,51.4,19.9,16.1,24.4
 Central Coast LHD, 2005-2006, Females, Rest of NSW,789,18.8,17.9,19.8
 Central Coast LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Central Coast LHD, 2005-2006, Persons, Central Coast LHD,100.2,24.9,21.5,28.8
 Central Coast LHD, 2005-2006, Persons, Rest of NSW,1586.6,22.9,22.1,23.7
 Central Coast LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Central Coast LHD, 2006-2007, Males, Central Coast LHD,48.7,28.9,23.4,35.4
 Central Coast LHD, 2006-2007, Males, Rest of NSW,805.8,25.8,24.6,27.1
 Central Coast LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Central Coast LHD, 2006-2007, Females, Central Coast LHD,49.9,19,15.2,23.3
 Central Coast LHD, 2006-2007, Females, Rest of NSW,790.1,18.4,17.4,19.3
 Central Coast LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Central Coast LHD, 2006-2007, Persons, Central Coast LHD,98.6,24.1,20.7,27.8
 Central Coast LHD, 2006-2007, Persons, Rest of NSW,1595.9,22.5,21.7,23.3
 Central Coast LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Central Coast LHD, 2007-2008, Males, Central Coast LHD,43.5,25.4,20.2,31.4
 Central Coast LHD, 2007-2008, Males, Rest of NSW,794.1,24.7,23.5,26
 Central Coast LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Central Coast LHD, 2007-2008, Females, Central Coast LHD,46.6,17,13.5,21
 Central Coast LHD, 2007-2008, Females, Rest of NSW,794,17.9,17,18.8
 Central Coast LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Central Coast LHD, 2007-2008, Persons, Central Coast LHD,90.1,21.3,18.2,24.8
 Central Coast LHD, 2007-2008, Persons, Rest of NSW,1588.1,21.7,20.9,22.5
 Central Coast LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Central Coast LHD, 2008-2009, Males, Central Coast LHD,45.3,25.9,20.7,31.9
 Central Coast LHD, 2008-2009, Males, Rest of NSW,808.1,24.5,23.3,25.7
 Central Coast LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Central Coast LHD, 2008-2009, Females, Central Coast LHD,48.8,17,13.6,20.9
 Central Coast LHD, 2008-2009, Females, Rest of NSW,781.9,17.2,16.3,18
 Central Coast LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Central Coast LHD, 2008-2009, Persons, Central Coast LHD,94.2,21.6,18.5,25.1
 Central Coast LHD, 2008-2009, Persons, Rest of NSW,1590,21.2,20.4,21.9
 Central Coast LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Central Coast LHD, 2009-2010, Males, Central Coast LHD,52.2,29.2,23.7,35.5
 Central Coast LHD, 2009-2010, Males, Rest of NSW,823.8,24.2,23.1,25.4
 Central Coast LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Central Coast LHD, 2009-2010, Females, Central Coast LHD,48.8,16.6,13.3,20.5
 Central Coast LHD, 2009-2010, Females, Rest of NSW,770.6,16.5,15.6,17.4
 Central Coast LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Central Coast LHD, 2009-2010, Persons, Central Coast LHD,101,23,19.8,26.5
 Central Coast LHD, 2009-2010, Persons, Rest of NSW,1594.4,20.7,20,21.4
 Central Coast LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Central Coast LHD, 2010-2011, Males, Central Coast LHD,54.3,30.2,24.6,36.6
 Central Coast LHD, 2010-2011, Males, Rest of NSW,829.8,23.7,22.6,24.9
 Central Coast LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Central Coast LHD, 2010-2011, Females, Central Coast LHD,44.3,14.7,11.6,18.3
 Central Coast LHD, 2010-2011, Females, Rest of NSW,780.3,16.2,15.4,17.1
 Central Coast LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Central Coast LHD, 2010-2011, Persons, Central Coast LHD,98.5,22.4,19.2,26
 Central Coast LHD, 2010-2011, Persons, Rest of NSW,1610.1,20.3,19.6,21
 Central Coast LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Central Coast LHD, 2011-2012, Males, Central Coast LHD,52.8,28.9,23.5,35.2
 Central Coast LHD, 2011-2012, Males, Rest of NSW,837.7,23.4,22.3,24.6
 Central Coast LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Central Coast LHD, 2011-2012, Females, Central Coast LHD,46.3,15.4,12.2,19.1
 Central Coast LHD, 2011-2012, Females, Rest of NSW,777,15.8,15,16.7
 Central Coast LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Central Coast LHD, 2011-2012, Persons, Central Coast LHD,99.2,22.2,19.1,25.7
 Central Coast LHD, 2011-2012, Persons, Rest of NSW,1614.7,19.9,19.2,20.6
 Central Coast LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Central Coast LHD, 2012-2013, Males, Central Coast LHD,55.6,29,23.7,35
 Central Coast LHD, 2012-2013, Males, Rest of NSW,851.3,23.3,22.2,24.4
 Central Coast LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Central Coast LHD, 2012-2013, Females, Central Coast LHD,48.5,16.4,13.1,20.3
 Central Coast LHD, 2012-2013, Females, Rest of NSW,747.1,14.9,14.1,15.7
 Central Coast LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Central Coast LHD, 2012-2013, Persons, Central Coast LHD,104,22.6,19.5,26.1
 Central Coast LHD, 2012-2013, Persons, Rest of NSW,1598.4,19.3,18.6,20
 Central Coast LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Central Coast LHD, 2013-2014, Males, Central Coast LHD,56.5,29,23.7,35
 Central Coast LHD, 2013-2014, Males, Rest of NSW,890.3,23.7,22.6,24.9
 Central Coast LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Central Coast LHD, 2013-2014, Females, Central Coast LHD,46.7,15.5,12.3,19.3
 Central Coast LHD, 2013-2014, Females, Rest of NSW,750.4,14.6,13.9,15.4
 Central Coast LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Central Coast LHD, 2013-2014, Persons, Central Coast LHD,103.2,22,19,25.5
 Central Coast LHD, 2013-2014, Persons, Rest of NSW,1640.7,19.4,18.7,20.1
 Central Coast LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Central Coast LHD, 2014-2015, Males, Central Coast LHD,52.5,26.6,21.6,32.4
 Central Coast LHD, 2014-2015, Males, Rest of NSW,927.5,24.2,23.1,25.3
 Central Coast LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Central Coast LHD, 2014-2015, Females, Central Coast LHD,47.8,15.1,12,18.7
 Central Coast LHD, 2014-2015, Females, Rest of NSW,761.7,14.6,13.9,15.4
 Central Coast LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Central Coast LHD, 2014-2015, Persons, Central Coast LHD,100.3,20.9,17.9,24.1
 Central Coast LHD, 2014-2015, Persons, Rest of NSW,1689.2,19.6,18.9,20.2
 Central Coast LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Central Coast LHD, 2015-2016, Males, Central Coast LHD,50.8,25,20.2,30.5
 Central Coast LHD, 2015-2016, Males, Rest of NSW,943.9,24,23,25.2
 Central Coast LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Central Coast LHD, 2015-2016, Females, Central Coast LHD,48,15.4,12.2,19.1
 Central Coast LHD, 2015-2016, Females, Rest of NSW,750.7,14.2,13.5,15
 Central Coast LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Central Coast LHD, 2015-2016, Persons, Central Coast LHD,98.8,20.2,17.4,23.4
 Central Coast LHD, 2015-2016, Persons, Rest of NSW,1694.6,19.2,18.6,19.9
 Central Coast LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Hunter New England LHD, 2001-2002, Males, Hunter New England LHD,135.5,34.3,30.3,38.7
 Hunter New England LHD, 2001-2002, Males, Rest of NSW,792.1,30.4,28.9,31.9
 Hunter New England LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Hunter New England LHD, 2001-2002, Females, Hunter New England LHD,124.3,22.7,19.9,25.7
 Hunter New England LHD, 2001-2002, Females, Rest of NSW,763.8,21.6,20.6,22.8
 Hunter New England LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Hunter New England LHD, 2001-2002, Persons, Hunter New England LHD,259.8,29,26.5,31.6
 Hunter New England LHD, 2001-2002, Persons, Rest of NSW,1555.9,26.5,25.6,27.5
 Hunter New England LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Hunter New England LHD, 2002-2003, Males, Hunter New England LHD,125.4,31.4,27.5,35.5
 Hunter New England LHD, 2002-2003, Males, Rest of NSW,781.6,29.5,28,31
 Hunter New England LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Hunter New England LHD, 2002-2003, Females, Hunter New England LHD,126.3,22.5,19.7,25.5
 Hunter New England LHD, 2002-2003, Females, Rest of NSW,782.9,21.7,20.6,22.8
 Hunter New England LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Hunter New England LHD, 2002-2003, Persons, Hunter New England LHD,251.6,27.4,25.1,29.9
 Hunter New England LHD, 2002-2003, Persons, Rest of NSW,1564.5,26.2,25.2,27.1
 Hunter New England LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Hunter New England LHD, 2003-2004, Males, Hunter New England LHD,121.1,29.7,26,33.8
 Hunter New England LHD, 2003-2004, Males, Rest of NSW,743.2,27.7,26.3,29.1
 Hunter New England LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Hunter New England LHD, 2003-2004, Females, Hunter New England LHD,129.1,22.2,19.6,25.2
 Hunter New England LHD, 2003-2004, Females, Rest of NSW,765.5,20.8,19.7,21.8
 Hunter New England LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Hunter New England LHD, 2003-2004, Persons, Hunter New England LHD,250.2,26.6,24.3,29.1
 Hunter New England LHD, 2003-2004, Persons, Rest of NSW,1508.7,24.8,23.9,25.7
 Hunter New England LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Hunter New England LHD, 2004-2005, Males, Hunter New England LHD,123.5,29.7,26.1,33.7
 Hunter New England LHD, 2004-2005, Males, Rest of NSW,711.9,26.1,24.7,27.5
 Hunter New England LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Hunter New England LHD, 2004-2005, Females, Hunter New England LHD,124.9,21,18.4,23.9
 Hunter New England LHD, 2004-2005, Females, Rest of NSW,735.2,19.5,18.5,20.5
 Hunter New England LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Hunter New England LHD, 2004-2005, Persons, Hunter New England LHD,248.4,25.9,23.6,28.3
 Hunter New England LHD, 2004-2005, Persons, Rest of NSW,1447.1,23.3,22.5,24.2
 Hunter New England LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Hunter New England LHD, 2005-2006, Males, Hunter New England LHD,123.7,29.2,25.6,33.1
 Hunter New England LHD, 2005-2006, Males, Rest of NSW,722.7,25.9,24.6,27.3
 Hunter New England LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Hunter New England LHD, 2005-2006, Females, Hunter New England LHD,120.6,19.9,17.4,22.6
 Hunter New England LHD, 2005-2006, Females, Rest of NSW,719.7,18.7,17.7,19.7
 Hunter New England LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Hunter New England LHD, 2005-2006, Persons, Hunter New England LHD,244.3,24.9,22.8,27.3
 Hunter New England LHD, 2005-2006, Persons, Rest of NSW,1442.5,22.7,21.9,23.6
 Hunter New England LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Hunter New England LHD, 2006-2007, Males, Hunter New England LHD,124.5,28.8,25.3,32.7
 Hunter New England LHD, 2006-2007, Males, Rest of NSW,730,25.6,24.3,26.9
 Hunter New England LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Hunter New England LHD, 2006-2007, Females, Hunter New England LHD,121.2,19.3,16.8,21.9
 Hunter New England LHD, 2006-2007, Females, Rest of NSW,718.8,18.2,17.3,19.2
 Hunter New England LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Hunter New England LHD, 2006-2007, Persons, Hunter New England LHD,245.7,24.5,22.3,26.8
 Hunter New England LHD, 2006-2007, Persons, Rest of NSW,1448.9,22.3,21.5,23.1
 Hunter New England LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Hunter New England LHD, 2007-2008, Males, Hunter New England LHD,116.9,26.4,23,30
 Hunter New England LHD, 2007-2008, Males, Rest of NSW,720.7,24.5,23.3,25.8
 Hunter New England LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Hunter New England LHD, 2007-2008, Females, Hunter New England LHD,121.1,18.6,16.2,21.2
 Hunter New England LHD, 2007-2008, Females, Rest of NSW,719.6,17.7,16.8,18.6
 Hunter New England LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Hunter New England LHD, 2007-2008, Persons, Hunter New England LHD,238,23,20.9,25.2
 Hunter New England LHD, 2007-2008, Persons, Rest of NSW,1440.2,21.5,20.7,22.3
 Hunter New England LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Hunter New England LHD, 2008-2009, Males, Hunter New England LHD,117.8,25.8,22.6,29.3
 Hunter New England LHD, 2008-2009, Males, Rest of NSW,735.6,24.4,23.1,25.6
 Hunter New England LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Hunter New England LHD, 2008-2009, Females, Hunter New England LHD,120.5,18.2,15.9,20.7
 Hunter New England LHD, 2008-2009, Females, Rest of NSW,710.2,17,16.1,17.9
 Hunter New England LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Hunter New England LHD, 2008-2009, Persons, Hunter New England LHD,238.4,22.4,20.4,24.6
 Hunter New England LHD, 2008-2009, Persons, Rest of NSW,1445.8,21,20.2,21.8
 Hunter New England LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Hunter New England LHD, 2009-2010, Males, Hunter New England LHD,120.7,25.8,22.6,29.3
 Hunter New England LHD, 2009-2010, Males, Rest of NSW,755.4,24.3,23.1,25.5
 Hunter New England LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Hunter New England LHD, 2009-2010, Females, Hunter New England LHD,122.8,18.2,15.9,20.7
 Hunter New England LHD, 2009-2010, Females, Rest of NSW,696.6,16.2,15.4,17.1
 Hunter New England LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Hunter New England LHD, 2009-2010, Persons, Hunter New England LHD,243.5,22.4,20.4,24.5
 Hunter New England LHD, 2009-2010, Persons, Rest of NSW,1452,20.6,19.8,21.3
 Hunter New England LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Hunter New England LHD, 2010-2011, Males, Hunter New England LHD,122.9,25.6,22.4,29
 Hunter New England LHD, 2010-2011, Males, Rest of NSW,761.1,23.8,22.6,25
 Hunter New England LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Hunter New England LHD, 2010-2011, Females, Hunter New England LHD,126.2,18.3,16,20.9
 Hunter New England LHD, 2010-2011, Females, Rest of NSW,698.3,15.8,15,16.7
 Hunter New England LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Hunter New England LHD, 2010-2011, Persons, Hunter New England LHD,249.1,22.4,20.4,24.5
 Hunter New England LHD, 2010-2011, Persons, Rest of NSW,1459.4,20.1,19.3,20.8
 Hunter New England LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Hunter New England LHD, 2011-2012, Males, Hunter New England LHD,132.2,27.1,23.9,30.7
 Hunter New England LHD, 2011-2012, Males, Rest of NSW,758.3,23.1,22,24.3
 Hunter New England LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Hunter New England LHD, 2011-2012, Females, Hunter New England LHD,126.8,18.2,15.9,20.7
 Hunter New England LHD, 2011-2012, Females, Rest of NSW,696.5,15.5,14.6,16.3
 Hunter New England LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Hunter New England LHD, 2011-2012, Persons, Hunter New England LHD,259,23,21,25.1
 Hunter New England LHD, 2011-2012, Persons, Rest of NSW,1454.8,19.5,18.8,20.3
 Hunter New England LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Hunter New England LHD, 2012-2013, Males, Hunter New England LHD,134.8,27.2,24,30.8
 Hunter New England LHD, 2012-2013, Males, Rest of NSW,772.1,23,21.9,24.2
 Hunter New England LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Hunter New England LHD, 2012-2013, Females, Hunter New England LHD,120.2,16.7,14.5,19
 Hunter New England LHD, 2012-2013, Females, Rest of NSW,675.4,14.7,13.9,15.6
 Hunter New England LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Hunter New England LHD, 2012-2013, Persons, Hunter New England LHD,254.9,22.2,20.3,24.3
 Hunter New England LHD, 2012-2013, Persons, Rest of NSW,1447.5,19.1,18.4,19.8
 Hunter New England LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Hunter New England LHD, 2013-2014, Males, Hunter New England LHD,138.9,27.3,24.1,30.8
 Hunter New England LHD, 2013-2014, Males, Rest of NSW,807.9,23.5,22.4,24.7
 Hunter New England LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
